t_var var
t_string string
t_id state
s_semi ;
t_main main
t_id state
s_assign =
t_text on
s_semi ;
t_while while
s_lparen (
t_id state
s_eq ==
t_text off
s_rparen )
t_loop loop
t_id state
s_assign =
t_text on
s_semi ;
t_end end
t_loop loop
t_if if
s_lparen (
t_id state
s_eq ==
t_text off
s_rparen )
t_then then
t_output output
s_lparen (
t_text Condition True
s_rparen )
t_else else
t_output output
s_lparen (
t_text Condition False
s_rparen )
t_end end
t_if if
t_id state
s_assign =
t_text on
s_plus +
t_text  +
s_semi ;
t_end end
