t_var var
t_integer integer
t_id a
s_comma ,
t_id b
s_comma ,
t_id c
s_semi ;
t_main main
t_id a
s_assign =
t_number 5
s_semi ;
t_id b
s_assign =
t_number 5
s_semi ;
t_id c
s_assign =
t_number 1
s_semi ;
t_if if
s_lparen (
t_id a
s_gt >
t_number 10
s_rparen )
t_then then
t_while while
s_lparen (
t_id a
s_gt >
t_number 0
s_rparen )
t_loop loop
t_output output
s_lparen (
t_id a
s_rparen )
t_id a
s_assign =
t_id a
s_minus -
t_number 1
s_semi ;
t_end end
t_loop loop
t_else else
t_if if
s_lparen (
t_id b
s_eq ==
t_id a
s_rparen )
t_then then
t_while while
s_lparen (
t_id b
s_gt >
t_number 0
s_rparen )
t_loop loop
t_output output
s_lparen (
t_id b
s_rparen )
t_id b
s_assign =
t_id b
s_minus -
t_number 1
s_semi ;
t_end end
t_loop loop
t_else else
t_if if
s_lparen (
t_id c
s_lt <
t_number 5
s_rparen )
t_then then
t_while while
s_lparen (
t_id c
s_gt >
t_number 0
s_rparen )
t_loop loop
t_output output
s_lparen (
t_id c
s_rparen )
t_id c
s_assign =
t_id c
s_minus -
t_number 1
s_semi ;
t_end end
t_loop loop
t_else else
t_output output
s_lparen (
t_number 0
s_rparen )
t_end end
t_if if
t_end end
t_if if
t_end end
t_if if
t_end end
