t_var var
t_string string
t_id apple
s_comma ,
t_id orange
s_semi ;
t_integer integer
t_id num
s_semi ;
t_main main
t_id apple
s_assign =
t_text apple
s_semi ;
t_id orange
s_assign =
t_text orange
s_semi ;
t_id num
s_assign =
t_number 7
s_semi ;
t_if if
s_lparen (
t_id apple
s_eq ==
t_number 5
s_rparen )
t_then then
t_output output
s_lparen (
t_text apple == 5 is True
s_rparen )
t_else else
t_output output
s_lparen (
t_text apple == 5 is False
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_text apple
s_eq ==
t_number 5
s_rparen )
t_then then
t_output output
s_lparen (
t_text 'apple' == 5 is True
s_rparen )
t_else else
t_output output
s_lparen (
t_text 'apple' == 5 is False
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_text apple
s_ne !=
t_number 5
s_rparen )
t_then then
t_output output
s_lparen (
t_text 'apple' != 5 is True
s_rparen )
t_else else
t_output output
s_lparen (
t_text 'apple' != 5 is False
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_id apple
s_lt <
t_number 5
s_rparen )
t_then then
t_output output
s_lparen (
t_text apple < 5 is True
s_rparen )
t_else else
t_output output
s_lparen (
t_text apple < 5 is False
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_id orange
s_eq ==
t_number 12
s_rparen )
t_then then
t_output output
s_lparen (
t_text orange == 12 is True
s_rparen )
t_else else
t_output output
s_lparen (
t_text orange == 12 is False
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_id orange
s_ne !=
t_number 12
s_rparen )
t_then then
t_output output
s_lparen (
t_text orange != 12 is True
s_rparen )
t_else else
t_output output
s_lparen (
t_text orange != 12 is False
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_id orange
s_ne ==
t_id num
s_rparen )
t_then then
t_output output
s_lparen (
t_text orange == ID is True
s_rparen )
t_else else
t_output output
s_lparen (
t_text orange == ID is False
s_rparen )
t_end end
t_if if
t_end end
