t_var var
t_id i
s_comma ,
t_id target_found
s_semi ;
t_main main
t_id i
s_assign =
t_integer 0
s_semi ;
t_id target_found
s_assign =
t_integer 0
s_semi ;
t_while while
s_lparen (
t_id i
s_lt <
t_integer 5
s_rparen )
t_loop loop
t_if if
s_lparen (
t_id i
s_eq ==
t_integer 3
s_rparen )
t_then then
t_id target_found
s_assign =
t_integer 1
s_semi ;
t_end end
t_if if
t_id i
s_assign =
t_id i
s_plus +
t_integer 1
s_semi ;
t_end end
t_loop loop
t_output output
s_lparen (
t_id target_found
s_rparen )
t_end end
