t_var var
t_integer integer
t_id a
s_comma ,
t_id b
s_comma ,
t_id c
s_comma ,
t_id d
s_comma ,
t_id fail_check
s_semi ;
t_main main
t_id a
s_assign =
t_number 1
s_semi ;
t_id b
s_assign =
t_number 2
s_semi ;
t_id c
s_assign =
t_number 3
s_semi ;
t_id d
s_assign =
t_number 4
s_semi ;
t_id fail_check
s_assign =
t_number 0
s_semi ;
t_if if
s_lparen (
t_id a
s_eq ==
t_number 10
s_and and
t_id b
s_eq ==
t_number 2
s_or or
t_id c
s_eq ==
t_number 100
s_rparen )
t_then then
t_id fail_check
s_assign =
t_id fail_check
s_plus +
t_number 1
s_semi ;
t_end end
t_if if
t_if if
s_lparen (
t_id d
s_eq ==
t_number 0
s_or or
t_id a
s_eq ==
t_number 1
s_and and
t_id b
s_eq ==
t_number 99
s_rparen )
t_then then
t_id fail_check
s_assign =
t_id fail_check
s_plus +
t_number 1
s_semi ;
t_end end
t_if if
t_if if
s_lparen (
t_id c
s_eq ==
t_number 3
s_and and
t_id d
s_eq ==
t_number 0
s_or or
t_id a
s_eq ==
t_number 99
s_rparen )
t_then then
t_id fail_check
s_assign =
t_id fail_check
s_plus +
t_number 1
s_semi ;
t_end end
t_if if
t_output output
s_lparen (
t_id fail_check
s_rparen )
t_end end
