t_var var
t_integer integer
t_id truth_hello
s_comma ,
t_id truth_null
s_comma ,
t_id truth_empty
s_semi ;
t_main main
t_id truth_hello
s_assign =
t_number 0
s_semi ;
t_id truth_null
s_assign =
t_number 1
s_semi ;
t_id truth_empty
s_assign =
t_number 0
s_semi ;
t_if if
s_lparen (
t_text "hello"
s_rparen )
t_then then
t_id truth_hello
s_assign =
t_number 1
s_semi ;
t_end end
t_if if
t_if if
s_lparen (
t_text "Hello"
s_eq ==
t_text "World"
s_rparen )
t_then then
t_id truth_null
s_assign =
t_number 0
s_semi ;
t_end end
t_if if
t_if if
s_lparen (
t_text ""
s_rparen )
t_then then
t_id truth_empty
s_assign =
t_number 1
s_semi ;
t_end end
t_if if
t_output output
s_lparen (
t_id truth_hello
s_rparen )
t_output output
s_lparen (
t_id truth_null
s_rparen )
t_output output
s_lparen (
t_id truth_empty
s_rparen )
t_end end
