t_var var
t_integer integer
t_id userAge
s_semi ;
t_main main
t_output output
s_lparen (
t_text Enter age:
s_rparen )
t_input input
s_lparen (
t_id userAge
s_rparen )
t_if if
s_lparen (
t_id userAge
s_lt <
t_number 0
s_rparen )
t_then then
t_output output
s_lparen (
t_text Invalid. Re-enter:
s_rparen )
t_input input
s_lparen (
t_id userAge
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_id userAge
s_gt >
t_number 17
s_rparen )
t_then then
t_if if
s_lparen (
t_id userAge
s_ge >=
t_number 64
s_rparen )
t_then then
t_output output
s_lparen (
t_text Senior
s_rparen )
t_else else
t_output output
s_lparen (
t_text Adult
s_rparen )
t_end end
t_if if
t_else else
t_output output
s_lparen (
t_text Minor
s_rparen )
t_end end
t_if if
t_end end
