t_var var
t_string string
t_id s1
s_comma ,
t_id s2
s_comma ,
t_id s3
s_semi ;
t_integer integer
t_id eq_f
s_comma ,
t_id ne_f
s_comma ,
t_id lt_f
s_comma ,
t_id gt_f
s_comma ,
t_id le_f
s_comma ,
t_id ge_f
s_semi ;
t_main main
t_id s1
s_assign =
t_text apple
s_semi ;
t_id s2
s_assign =
t_text banana
s_semi ;
t_id s3
s_assign =
t_text apple
s_semi ;
t_if if
s_lparen (
t_id s1
s_eq ==
t_id s3
s_rparen )
t_then then
t_id eq_f
s_assign =
t_number 1
s_semi ;
t_end end
t_if if
t_if if
s_lparen (
t_id s1
s_ne !=
t_id s2
s_rparen )
t_then then
t_id ne_f
s_assign =
t_number 1
s_semi ;
t_end end
t_if if
t_if if
s_lparen (
t_id s1
s_lt <
t_id s2
s_rparen )
t_then then
t_id lt_f
s_assign =
t_number 1
s_semi ;
t_end end
t_if if
t_if if
s_lparen (
t_id s2
s_gt >
t_id s1
s_rparen )
t_then then
t_id gt_f
s_assign =
t_number 1
s_semi ;
t_end end
t_if if
t_if if
s_lparen (
t_id s1
s_le <=
t_id s3
s_rparen )
t_then then
t_id le_f
s_assign =
t_number 1
s_semi ;
t_end end
t_if if
t_if if
s_lparen (
t_id s2
s_ge >=
t_id s1
s_rparen )
t_then then
t_id ge_f
s_assign =
t_number 1
s_semi ;
t_end end
t_if if
t_end end
