t_var var
t_integer integer
t_id num1
s_comma ,
t_id num2
s_comma ,
t_id result
s_semi ;
t_string string
t_id first
s_comma ,
t_id last
s_comma ,
t_id full
s_semi ;
t_main main
t_id num1
s_assign =
t_number 10
s_semi ;
t_id num2
s_assign =
t_number 5
s_semi ;
t_id result
s_assign =
t_id num1
s_mult *
t_id num2
s_plus +
t_number 9
s_semi ;
t_id first
s_assign =
t_text Adam
s_semi ;
t_id last
s_assign =
t_text Stahly
s_semi ;
t_id full
s_assign =
t_id first
s_plus +
t_text  
s_plus +
t_id last
s_semi ;
t_if if
s_lparen (
t_id first
s_gt >
t_id last
s_rparen )
t_then then
t_output output
s_lparen (
t_id full
s_rparen )
t_end end
t_if if
t_end end
