t_var var
t_integer integer
t_id a
s_comma ,
t_id b
s_comma ,
t_id lt_flag
s_comma ,
t_id gt_flag
s_comma ,
t_id le_flag
s_comma ,
t_id ge_flag
s_semi ;
t_main main
t_id a
s_assign =
t_number 10
s_semi ;
t_id b
s_assign =
t_number 20
s_semi ;
t_if if
s_lparen (
t_id a
s_lt <
t_id b
s_rparen )
t_then then
t_id lt_flag
s_assign =
t_number 1
s_semi ;
t_end end
t_if if
t_if if
s_lparen (
t_id b
s_gt >
t_id a
s_rparen )
t_then then
t_id gt_flag
s_assign =
t_number 1
s_semi ;
t_end end
t_if if
t_if if
s_lparen (
t_id a
s_le <=
t_id a
s_rparen )
t_then then
t_id le_flag
s_assign =
t_number 1
s_semi ;
t_end end
t_if if
t_if if
s_lparen (
t_id b
s_ge >=
t_id a
s_rparen )
t_then then
t_id ge_flag
s_assign =
t_number 1
s_semi ;
t_end end
t_if if
t_end end
